measurement,short sleeve top,long sleeve top,vest,shorts,trousers,skirt,short sleeve dress,long sleeve dress,vest dress
BACK_WIDTH_OVER_ARM_WIDTH,0.05573356131779281,0.10683841491946756,,,,,,,
CHEST_OVER_FRONT_LENGTH,0.03118516832841377,0.03442441221422431,0.04659035094605704,,,,0.032136464901205065,0.05887770289775175,0.018526405222024936
FRONT_LENGTH_OVER_CHEST,0.03148379408162683,0.033158901005292375,0.05617075039347648,,,,0.031040421292991564,0.05474666800421815,0.01879865547131458
HIP_OVER_WAIST,,,,0.24233749882555639,0.029005469369754296,0.8212989883327403,0.2578097653258055,0.2361803714320802,0.09606744645029082
SLEEVE_LENGTH_OVER_FRONT_LENGTH,0.041616528830798576,0.015222145349760515,,,,,0.05445468831349568,0.03807573304369168,
