measurement,short sleeve top,long sleeve top,vest,shorts,trousers,skirt,short sleeve dress,long sleeve dress,vest dress
BACK_WIDTH_OVER_ARM_WIDTH,0.07834470920229018,0.1344496240285228,,,,,,,
CHEST_OVER_FRONT_LENGTH,0.024529056128392072,0.040693163656227695,0.10813167580257176,,,,0.03142489535692418,0.06371966658847142,0.01732485306300615
FRONT_LENGTH_OVER_CHEST,0.025085853506556833,0.03944258343556005,0.01921576435424324,,,,0.03109312323965184,0.059741311276141365,0.017267791315153436
HIP_OVER_WAIST,,,,0.025434008884457727,0.018143360072714398,4.0403962375702855,0.2400616148956672,0.21141977242310847,0.09738585762431776
SLEEVE_LENGTH_OVER_FRONT_LENGTH,0.05547021400497507,0.01670001933052587,,,,,0.057832927304883,0.060714914992280246,
